date,Tweets
2020-01-01,2
2020-01-02,3
2020-01-03,4
2020-01-04,5
2020-01-05,5
2020-01-06,6
2020-01-07,6
2020-01-08,14
2020-01-09,55
2020-01-10,143
2020-01-11,98
2020-01-12,37
2020-01-13,26
2020-01-14,9
2020-01-15,6
2020-01-16,8
2020-01-17,71
2020-01-18,89
2020-01-19,22
2020-01-20,483
2020-01-21,991
2020-01-22,4253
2020-01-23,6589
2020-01-24,9198
2020-01-25,13415
2020-01-26,15157
2020-01-27,416913
2020-01-28,1308343
2020-01-29,1486491
2020-01-30,1773301
2020-01-31,1702223
2020-02-01,1060148
2020-02-02,1145594
2020-02-03,894387
2020-02-04,801620
2020-02-05,665694
2020-02-06,708264
2020-02-07,773653
2020-02-08,149414
2020-02-09,8363
2020-02-10,401091
2020-02-11,716038
2020-02-12,590400
2020-02-13,651123
2020-02-14,502447
2020-02-15,505854
2020-02-16,488779
2020-02-17,495631
2020-02-18,574422
2020-02-19,565949
2020-02-20,467832
2020-02-21,667771
2020-02-22,693191
2020-02-23,925853
2020-02-24,1357417
2020-02-25,1941314
2020-02-26,2279065
2020-02-27,2448979
2020-02-28,2630531
2020-02-29,2555832
2020-03-01,1349976
2020-03-02,1754659
2020-03-03,1309774
2020-03-04,2016227
2020-03-05,2316456
2020-03-06,2527490
2020-03-07,1501584
2020-03-08,2510462
2020-03-09,2456896
2020-03-10,2610892
2020-03-11,2645871
2020-03-12,2838310
2020-03-13,4347494
2020-03-14,4544016
2020-03-15,4596412
2020-03-16,4595739
2020-03-17,4581466
2020-03-18,4625664
2020-03-19,4513770
2020-03-20,4509157
2020-03-21,4737815
2020-03-22,4595815
2020-03-23,4501584
2020-03-24,4589240
2020-03-25,4492680
2020-03-26,4554228
2020-03-27,4621539
2020-03-28,4276093
2020-03-29,4257355
2020-03-30,4169142
2020-03-31,4058783
2020-04-01,4363049
2020-04-02,4187046
2020-04-03,4273265
2020-04-04,4267977
2020-04-05,4369411
2020-04-06,4376721
2020-04-07,4283241
2020-04-08,4380089
2020-04-09,4015241
2020-04-10,4385107
2020-04-11,4071106
2020-04-12,4368381
2020-04-13,4375774
2020-04-14,4381637
2020-04-15,4195499
2020-04-16,4370988
2020-04-17,4006677
2020-04-18,4167576
2020-04-19,4356877
2020-04-20,4272867
2020-04-21,4362168
2020-04-22,4366891
2020-04-23,4271462
2020-04-24,4093009
2020-04-25,4241082
2020-04-26,4280389
2020-04-27,4208045
2020-04-28,4263190
2020-04-29,4332049
2020-04-30,4161449
2020-05-01,3718983
2020-05-02,3189077
2020-05-03,4143591
2020-05-04,4223090
2020-05-05,4169995
2020-05-06,4215838
2020-05-07,4265758
2020-05-08,4080450
2020-05-09,4157279
2020-05-10,4134793
2020-05-11,4265101
2020-05-12,4019822
2020-05-13,3782409
2020-05-14,4104114
2020-05-15,4117219
2020-05-16,3970422
2020-05-17,3826336
2020-05-18,4194021
2020-05-19,4080130
2020-05-20,4084878
2020-05-21,3988854
2020-05-22,3705864
2020-05-23,3741261
2020-05-24,3540469
2020-05-25,3687986
